Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
ME;238832;250313;252942;262536;270594;273801;278099;275777;278217;287590;303089;306314;310396;317899;331470;334634;349438;361494;370037;361952;325554;333014;312643;276910;285378;257926;246436;241857;220390;199514;235138;239154;258196;273707;284230;315578;300132;302132;390878;388073;394871;380980;369932;328307;323790
MI;1371031;1405524;1462030;1467485;1506921;1426036;1366508;1288034;1269470;1282980;1300047;1338141;1344855;1287190;1234257;1219760;1291319;1291383;1280082;1283540;1332398;1349954;1406703;1492186;1486412;1482554;1470100;1470202;1459770;1459189;1440584;1486648;1553384;1561222;1598630;1564452;1491517;1451944;1503798;1500026;1551992;1602565;1642099;1695448;1672583
MN;3757150;3956390;3855447;3891428;3987372;3747896;3758856;3795818;3781062;3658005;3716489;3873989;3735055;3801424;3659964;3394965;3524797;3616766;3528340;3732941;4070279;4035549;3920076;4103320;3842412;4359665;3960512;4025004;4000613;3949742;3949544;4014234;4107506;4167854;4111022;4186491;4059379;4073185;4357382;4440503;4524558;4541013;4507176;4557528;4549682
MO;2379637;2517736;2471966;2547947;2559522;2475918;2567310;2693646;2707615;2622165;2796084;2866691;2829796;2717034;2711138;2464450;2552486;2572472;2512286;2519659;2458146;2458497;2274006;2412007;2244526;2185994;2127538;2148856;2128292;2104542;2117938;2224460;2276051;2382777;2365788;2564047;2571369;2603253;2642216;2544340;2514801;2668061;2651166;2518151;2504685
MS;920009;996165;1020900;1092067;1116089;1179944;1258906;1299457;1309024;1349895;1415771;1428886;1416021;1342440;1304517;1240488;1264415;1284695;1187780;1112271;1134907;1169575;1189101;1190186;1182633;1246441;1240249;1301676;1340703;1355105;1419622;1519758;1603858;1743721;1850531;1949773;1962900;1994930;2119232;2183571;2217443;2206367;2288871;2273280;2332635
MT;611059;603492;613124;668086;671636;699980;721273;713793;766450;759814;784344;788770;804977;769471;781567;712239;717603;677709;693411;689166;727029;770076;764678;800559;764435;684683;696947;650592;690539;671109;724528;767008;724369;728195;759072;750507;739374;747161;731007;778188;751775;761234;746910;714485;735563
NC;921369;1015280;1036034;1058557;1093581;1136079;1216691;1301192;1363911;1448843;1528359;1533923;1559064;1527952;1564343;1469818;1604788;1647304;1741720;1903627;1988758;2041254;2057486;2176003;2172420;2329325;2417147;2610884;2711221;2843183;3001558;3215984;3546236;3813743;4188959;4515566;4648783;4705919;4605259;4597183;4677321;4779450;4913706;4770563;4839097
ND;617619;680249;692380;750614;769075;733117;735620;694896;667987;647243;679906;718243;730064;752094;773398;750189;745741;701424;603499;656243;686508;704308;673911;725558;726523;725104;696607;678264;535387;538014;555366;560911;567348;600367;570333;597862;564508;509528;607284;573894;612527;610346;590956;575050;589713
NE;2241354;2458648;2483500;2639988;2772312;2740969;2990245;3104783;3222241;3162162;3304032;3595441;3697224;3571919;3432115;3231577;3484069;3537012;3722312;4143116;4214295;4018337;4237797;4255122;4114131;4321039;4387771;4682997;4897750;5014557;5097291;5041695;4954632;4983323;4759572;4917606;4791060;4909095;4958230;5079415;5213489;4965094;5161037;5158481;5145578
NH;117943;121865;115887;118858;115453;119316;122481;109473;108128;100047;93983;98168;102629;98690;75052;91216;91111;85738;98803;103587;90198;84196;77551;79380;80225;79572;79843;75964;70456;67071;65222;69021;75574;68506;65477;68042;69949;71747;79056;71043;64436;69759;73511;68456;64678
NJ;406045;393135;376872;356781;331136;312516;285445;266034;242276;231098;215780;215201;203051;184495;178482;166011;161609;177294;166697;152562;154559;148482;154179;159433;150938;176348;176550;223994;220033;204643;193109;202612;216869;212942;203468;243413;202317;207236;211378;228240;243156;236742;252028;221910;197981
NM;417271;447852;476593;515435;450593;511003;572035;639766;617523;686888;759335;728044;834137;889025;701329;801880;768934;876705;832359;815483;776724;686627;726003;737986;799882;827122;826935;824880;895975;938361;898281;999154;992366;1054567;1181282;1152681;1263339;1384662;1334064;1359547;1438328;1433922;1346142;1448422;1517449
NV;120410;115451;119764;122778;124554;133167;135044;135310;142436;152070;157274;163980;172355;174346;174970;175631;169971;161392;150494;163436;177467;173797;183195;195109;187625;167611;160323;162864;147195;146976;159011;166837;174415;167409;178119;176100;188408;181453;188205;191140;193254;211953;199615;199465;201276
NY;2102617;2149155;2145506;2170958;2226678;2237757;2166432;2150405;2105443;2102799;2093748;2103968;2087317;1982637;2031438;2016577;1988969;1968210;2041766;2210075;2289850;2351582;2292177;2355546;2286528;2303492;2283400;2218395;2162491;2161796;2166964;2214130;2273367;2305835;2269779;2395390;2373657;2210074;2285301;2355479;2312209;2443431;2525795;2374294;2272177
OH;2071251;2186403;2205522;2206030;2240167;2094080;2097177;2064706;2013552;2014963;2007787;2081574;2016082;1803686;1782860;1772395;1859092;1766595;1734360;1768062;1737375;1768059;1782271;1890417;1843050;1931903;1950230;2003739;1941051;1877526;1888747;1913227;1874309;1937045;1901058;1970555;1947395;1951293;2080716;2132852;2086360;2059725;2079014;2062904;2092617
OK;1101707;1170880;1192348;1234719;1298197;1374272;1428831;1449621;1508357;1583124;1689772;1784790;1930437;2013506;2043892;1950996;1876283;2002112;1747756;1868493;1972920;1966970;2034252;1906266;1867234;1899755;2062667;2007480;2137912;2117328;2011516;2114796;2007422;2036858;2401825;2295273;2310853;2518132;2448630;2657932;2590921;2464794;2611405;2585410;2609007
OR;560152;586755;592805;594216;599159;594680;604123;594155;600156;578692;585027;579824;607577;597706;574344;587180;594629;576658;560210;665761;679779;691147;697190;693059;696427;718036;710619;696940;701850;730982;734388;761196;723007;707740;745311;742582;747699;821354;717183;716681;714082;757434;770275;795160;797562
PA;1770840;1787220;1783237;1774685;1776821;1792587;1769756;1773322;1748997;1782903;1792368;1827901;1792198;1738870;1764911;1802668;1899023;1963051;2048658;2201537;2323487;2460650;2386376;2525080;2441026;2613617;2699434;2733941;2726130;2723129;2721548;2784831;2800771;2843959;2882565;2931875;2921955;2958345;3043195;3066312;3120400;3170624;3121039;3063007;3001074
RI;30226;29452;29538;29305;28616;27212;25868;24625;22754;21627;20974;19460;17589;16460;16437;16615;15165;16042;14523;14497;16465;15283;14611;13257;13932;14524;13132;14678;13864;12334;12844;13129;14450;13048;12188;11134;11331;10146;10907;10660;10094;10052;11910;10680;9101
SC;339754;358891;353151;362045;355312;363748;391890;421770;415963;447753;461050;503476;505663;481931;484266;469461;481992;482191;505333;522742;550008;539290;503620;508932;525582;545974;567878;581288;585964;915566;618874;617361;652681;669717;659154;722973;778882;818176;818189;831273;870392;896487;933816;998498;1014596
SD;1323829;1469423;1491223;1575555;1624848;1617394;1660591;1764563;1758459;1658137;1689620;1792221;1770470;1878681;1943667;1733242;1824712;1653691;1619898;1655957;1742065;1728668;1626802;1708076;1728536;1721736;1542128;1699388;1819943;1537732;1596698;1619059;1620404;1590110;1567024;1569078;1470045;1485307;1545392;1594231;1706966;1710789;1598922;1617232;1656957
TN;981955;1012499;1009966;1027493;1022765;1032400;1072297;1097404;1087730;1097049;1144507;1145294;1177101;1170800;1112054;1101374;1150696;1124929;1058748;1080514;1090751;1068466;1122165;1121159;1161026;1179541;1197165;1178566;1095321;1024374;970422;1012210;1014927;1069961;1028766;1055519;926298;917517;950994;932062;930610;1050730;1004834;968379;961947
TX;3332756;3466887;3627226;3652395;3618675;3706890;3815581;3915672;3952544;4312068;4471938;4985413;5390335;5600430;5289246;5429666;5450903;5547597;5529397;5387984;5104298;5227046;5783103;5318750;5669376;5655214;5902148;5928474;5868158;5752879;6322036;6724333;6798360;7142279;7370463;7941664;6759440;7400945;7348361;7544689;7587890;7435213;7234028;7645137;7605840
UT;429922;441258;443109;447987;437289;431560;457757;455966;455372;458264;481216;482252;480332;464498;467415;468086;460233;448078;454818;451371;466583;510837;507195;494878;473584;475938;507414;530945;581182;568465;580235;566622;602380;588704;630264;636858;679070;716902;720047;768146;797889;818186;824549;824557;804138
VA;823655;847357;824417;837246;814997;810967;817802;818432;829968;853405;874429;890080;903150;870599;907318;893399;926388;936418;965377;1117606;1189395;1153380;1143033;1283023;1255827;1317327;1365394;1402758;1394410;1394977;1387853;1456555;1469130;1495034;1533327;1563284;1578969;1530604;1578190;1572325;1613536;1638407;1648340;1582875;1579905
VT;381125;393430;390546;389252;391368;392458;369756;360602;364042;372425;384420;391416;393347;377212;377385;398482;411744;416678;417414;428517;421356;437011;458949;455283;431589;440822;434892;439681;431514;421825;419332;427912;460886;447106;453507;478849;468483;484046;484782;482778;494442;486754;492368;481847;454615
WA;619121;640812;648248;649515;659905;688810;690555;664743;675061;649879;680057;684229;735142;771055;781406;755799;826275;791209;913971;999001;852141;1064322;1024897;1003626;1036114;1061259;1063637;1088988;1222990;1210890;1320386;1382212;1434422;1549157;1563921;1638967;1623372;1598843;1617950;1589681;1621866;1533047;1621657;1482952;1344787
WI;4111347;4153294;4233558;4271016;4350581;4120521;4090106;4070485;4065218;3976441;4075367;4150435;4135927;3992396;4055394;3910965;4094335;4226810;4381647;4595267;4745826;4696145;4694749;4801837;4821453;4952691;5026658;5093361;5034431;4816975;4841739;4760907;4805488;4582274;4616573;4605200;4494781;4418999;4568065;4706820;4751671;4793027;4692123;4650800;4605413
WV;291126;283608;269262;259025;256650;251752;243234;235478;225660;214987;215677;222067;220366;214114;223004;208740;202524;206174;203327;232107;234181;234750;210362;255900;248568;237939;263600;251168;230051;250247;266679;276002;263067;321429;363724;351840;345086;344087;341276;335520;329144;344847;324298;313291;317157
WY;368236;356816;371843;411571;406981;412412;428908;449842;450873;438106;434540;473860;477501;456115;497406;469741;496440;493828;464979;475341;466488;467312;448694;474973;454421;492083;474145;470569;449774;460345;443494;559333;497117;514468;506249;524733;555109;619093;532554;544060;535741;562014;494511;516681;512009
