Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
ID;1962452.63020155;1949709.73750088;1943162.95116372;1921911.68833978;1922535.50843851;1929172.87702446;1822306.71084333;1612577.12500576;1469436.09026563;1490864.59036097;1454582.53267425;1396819.76342186;1413553.27829454;1403999.38879408;1304517.62975379;1175879.41948355;1524485.51529659;1385078.35667615;1468439.15180493;1344258.5988897;1366933.84458011;1392059.97911319;1863955.61063801;1331096.16060304;1343724.88584921;1323691.63499719;1272232.71489032;1175891.84029649;1240971.98014751;1358204.49334596;1316347.54256335;1006764.18146975;957945.269514115;888372.401424091;905477.001113534;1029450.05703963;956968.792423756;784064.22182289;897663.984081518;1021439.61387329;1146136.57988563;1141101.172221;1132892.56672478;1101917.15613144;1040614.35694647
IL;6503078.92029865;6170250.35155965;6150834.2153508;5878670.71844241;5446332.58308428;5274129.88915674;4786026.50709602;4668092.69714032;4299483.36780555;4124110.70750017;3932160.09287322;3961595.18074734;4031314.87749;4152196.68588412;3910873.08958268;4053142.33111904;4272189.38403956;4341320.87024798;3945245.69292659;4487120.02646844;3734766.34273362;4046292.39740166;3201364.78080987;3215105.3060455;3333319.6021166;3201541.95266386;3023565.67117024;2654915.71188818;2999666.48286722;3102260.1527866;2692711.75296449;2764200.8920107;2512327.20651081;2421277.18325063;2536250.47634157;2656042.44553743;2316145.59038013;2549565.65374687;2187003.36339255;2259072.36407417;2357147.03033528;1760061.97379867;1726518.80347499;1827328.00468228;1820582.68124771
IN;5508045.69500836;5199395.15964031;5041842.36792705;4789931.48495245;4445430.34026971;4263264.97269063;3939062.09076394;3345090.9349573;3102411.35351112;2953115.13712022;3025149.44343405;3232476.23017774;3373138.41512729;3575767.39440696;3003990.50177992;3174240.54008131;2861717.13344163;3041641.08447195;2563852.25798169;2660678.4507928;2812312.17961346;2730426.48926183;2492904.87563134;2788657.53437327;2480878.48391132;2494646.24006317;2540097.688981;2378513.95340641;2474088.3337733;2412320.11358901;2120008.41272054;1968051.46890948;1882451.44783283;2015424.07512763;1759339.31854842;1765403.97582149;1681811.07923071;1585621.69593838;1546055.56516583;1630232.10890436;1727190.66059558;1788963.82054668;1536359.60527557;1465795.12037512;1470986.85948572
KS;4516405.63806512;4233844.22149481;4139908.5936158;3992743.35365909;3904542.01087251;3853412.69439446;3741356.6259013;3492000.07747616;3279628.67355291;3036677.93532721;2973139.85835727;3015277.72470716;2999334.82663305;3145970.05476345;2938002.43534118;2818970.31390701;3075068.36920091;3050900.95856135;2910900.57511322;3410343.52461358;3667640.4731226;3832077.74414636;3485043.56331227;3510439.0607784;2644110.08972239;2912581.10354707;2592598.22880272;2485449.52834156;2219469.09419027;2353306.50790189;2523027.36540455;2126591.71010214;2047304.5021895;2076608.63841708;1994837.54881909;2405620.56932029;2186062.28236115;2001478.95115462;2169448.24601154;2127458.90587212;2328607.04444385;2125783.62861428;2088079.21859988;2087095.86038927;2093495.63373657
KY;4390996.96000167;4268121.12378936;4135870.07088327;4165313.15433193;4014368.42862058;3904072.7087914;3583229.19471214;3643237.14874533;3140523.5082189;2902399.6891737;2741995.0024975;2721143.33977754;2709800.32825913;2597381.63672196;2362564.09933356;2349647.92222237;2368636.90858587;2388729.74777084;2445126.01269152;1880217.6065868;2169871.45402731;2273584.87596971;2303520.33953361;2010584.34404187;1938668.07809611;1705648.60935809;1645888.8724555;1672894.91167286;1752415.21923197;1982691.9514907;2074658.65754915;1758986.42351939;1753692.65508671;1710201.99065331;1561635.51951464;1674867.20891756;1642005.95843502;1770379.29515729;1698786.98479178;1633064.4838267;1626476.98432845;1575485.88955346;1470031.06995085;1463915.09408187;1458890.9630346
LA;2502308.57817337;2431537.94686298;2306200.41279327;2223763.50465586;2117511.26998163;2032084.53717065;1902593.35624463;1721791.22174442;1635476.85608551;1464045.2555543;1277398.86296371;1310277.248981;1364644.38398048;1275676.20144668;1295432.52721491;1087576.79064349;1257107.10049151;1058023.87799368;1073187.59177859;1007693.4028561;1131123.99931471;1266210.26685842;1082339.69849942;869875.540977811;735829.653990183;922400.787943697;730025.66249129;792276.37161283;968186.560467789;857914.452545531;746258.494842982;656398.502864802;877972.459244711;829496.922113965;690585.887954533;796426.132068595;666987.3368709;775379.329927031;773625.559772926;762350.845247183;745694.065865826;688946.253136229;720571.39635773;717643.917594703;643232.748701287
MA;1104077.40340208;1002658.95585812;946980.123189035;859404.985784713;806461.616051896;808902.527230456;716977.827914623;586804.279159703;572660.51727989;504971.566088218;473974.953955273;484357.679218411;479253.914224918;514642.024079727;394959.372364182;417771.24183552;454811.145990309;455676.324503287;436563.290058706;396462.550907506;420423.200099196;433997.38375409;456599.230686325;420594.828878256;409633.690278172;374912.429768813;300740.658530392;267180.395227935;238227.633619271;224456.089393975;230672.677487849;256068.065266567;296662.790897806;294286.512156546;311977.904936524;243645.777881102;208484.384784373;221712.381021335;230009.612070201;216491.884022705;203017.029547461;189644.773531763;188824.417986292;174426.128881515;160356.542659866
MD;1213558.39398504;1164390.9075975;1189796.39730405;1161485.93762608;1092708.50894376;1110216.60199917;942412.912081101;866698.148611368;827768.627149155;791759.824938274;791428.460954855;788640.230222186;772471.697727723;812834.365756633;789224.674795597;743640.644626968;760065.175992319;730860.806359357;709724.82592841;772399.854490253;846299.256099612;968027.336021857;753346.824384864;720853.362248173;616913.913678115;555497.556282729;475537.051390021;489262.668234121;453743.636563132;541884.508085639;583311.759355809;506078.409953778;590483.688191459;497373.09634412;462875.106325827;497702.805061081;453115.940721045;500085.930665475;447804.638012638;493160.709230924;435478.451718227;423126.3105905;453132.6354953;381000.364051193;413329.120864094
ME;803982.151408212;781687.828323185;751114.606146555;789803.251625113;770848.593930489;757614.325468653;747814.388733178;602602.482998629;552355.911459416;542216.926004841;518449.47482821;460409.46886099;489053.605100458;527308.316473452;417783.307859576;420886.138579682;438770.054422438;466098.220990783;486300.31267565;449535.090995134;499894.599820002;524040.596563912;376031.965455864;384395.90200435;358191.928191352;363649.96558733;328664.336139648;296977.76365979;242106.143723197;239803.869185718;262056.256936475;244266.159939396;266624.306718438;260651.897493331;280089.24525457;273775.060254574;231768.675828851;299966.930382095;313448.682490917;295125.224795238;274923.270835051;255405.919012224;253212.37733046;234120.08301612;215355.496425055
MI;5819604.72701512;5570771.97748869;5278386.48771676;5188865.89360307;4841872.46288035;4589202.05582266;4429757.21747407;4019315.09401702;3677597.14692371;3496322.63227944;3557187.2287538;3240759.42392993;3048814.16345581;3096924.6104534;2666301.20270165;2408609.86867355;2592167.09604219;2385573.70485773;2265618.28334259;2433790.05402177;2446489.1149189;2288876.0400702;2533458.91463067;2638119.31233395;2694329.15410001;2447713.39395877;2005542.87327645;2078699.17151669;2228591.76605052;2193296.21161797;2203144.15788836;2393666.48286677;1993411.64338162;1903486.80975702;1817772.91679985;2013463.30608211;1670447.85086925;1855673.45521209;1699130.3214168;1764981.49665464;1791684.01512889;1627836.09112031;1488042.53700348;1541560.50384303;1702515.68936903
MN;7112691.38114166;6820925.68373835;6827730.16500665;6692477.70998402;6503661.14066396;6385278.82847748;5995452.88284659;5680548.1257692;5295728.71721822;5189522.13837063;4834870.8002896;4896929.79421237;4773001.31499592;5273190.5045969;5546227.96330895;5548289.25515055;5953504.9417926;5762216.73649335;5634268.88342936;5148809.58764962;6047552.78024563;5592798.66553625;5635057.59220106;4843313.86598647;5462070.36840739;5451237.34184603;4702756.69532415;5005841.60920752;4351237.69668925;4337592.04552343;4125972.22287848;3757739.53832113;3610525.67476697;3536943.57185544;3419581.64268669;3300285.76455766;3271369.09828489;3263380.48857706;2967978.06289903;2931364.57436292;2863700.65755079;2640957.54973476;2435279.52775005;2367051.12576126;2141629.31831373
MO;6605917.05575876;6252573.46087894;6117249.0866423;5816841.71172156;5619326.48713581;5429109.8496243;5065808.84191331;4768825.67711233;4391863.68230871;4329566.28548636;4489008.87898327;4421676.5600806;4252698.37734361;4404467.38019427;4103986.21956773;4320626.63371001;4097532.5635372;3515359.45417418;3326992.80945138;3579429.31920516;3220900.60748385;2913233.34683015;4016985.66406448;3439489.15529962;3461148.49399233;3385941.2422816;2661108.86021732;3281512.88763357;3350853.90824859;2761175.64447202;2652299.96968211;2806333.36618263;2624494.47292953;2430770.00861692;2463615.82379099;2851598.18670282;2830492.24397469;2654843.23144826;2315281.77621854;2426483.75886112;2473577.46673031;2638657.21426497;2624299.38932842;2660425.34764894;2678579.65005245
MS;4411980.69882526;4059785.30324767;3996465.29011221;3694607.71726559;3546540.08110212;3347076.21519345;3040066.03119697;2611144.35062885;2638463.00730377;2345796.15985821;2448680.25204893;2253429.85299539;2072688.21895078;1981435.24504105;1644133.49565271;1242468.45282913;1559027.12289171;1449704.49430944;1364114.26482828;1121457.74201413;1449329.56541962;1321419.53787586;1254189.49984386;1056277.06604048;1018731.37131752;1142488.63315798;881949.479354373;971461.566568707;1080318.45052057;1045254.16947154;991755.954585279;984969.997800373;921010.319698084;943728.292389457;864294.095182859;922314.364772199;978304.598092139;1052785.97337803;882867.650292249;900342.912651395;918569.242194727;890397.505088981;835387.20566;770337.453334939;728535.34322599
MT;1397014.5411733;1284301.78822714;1295942.50941921;1248931.66344339;1205230.51995997;1218806.1264019;1252913.11277338;1216126.45970268;1126190.01982442;1152332.58092919;1085933.30281817;1144307.48436395;1136237.23630023;1144416.94069803;1191387.25953302;980787.545041796;1084676.53698706;1101924.55453754;1098596.42688374;1138155.5867448;1241855.48695069;1265532.04692672;1285857.24076919;1025076.61664135;1292625.21365931;1168967.73787985;1012357.47701999;870188.048235147;983197.74479573;1092638.10672778;979597.455372745;1066960.41240751;1010925.08556842;870740.538292356;963739.867937506;830073.126111572;962878.959547857;1116772.18863944;941933.683871731;998385.589044603;1040078.75840646;907787.354861468;890924.782297787;825099.962874161;873553.286326619
NC;6841833.88353275;6543136.15642308;6256651.49490418;6255448.20033494;5684234.17025477;5521503.59227278;4982409.68273686;4828683.33788427;4513681.175153;4204389.05593108;4189938.51254259;3996711.89085611;3553710.35259854;3493665.95803292;2940462.8914673;2517956.05215263;2795521.60472787;2584486.75884438;2527023.65657182;2879089.94978837;2822753.17208614;2951411.68700683;2958469.09905823;1988811.88027688;2352534.71492233;1994255.79382952;1616882.03550682;1553095.21095107;1630719.58062689;1738683.58675451;1846447.80759612;1932556.50972997;1896423.55938697;1626000.3153456;1626242.71347083;1814501.21168724;1775272.13242212;1860654.22722705;1566427.80706104;1615776.36905382;1546467.37336666;1595252.81679928;1559033.4566956;1414519.70848491;1340699.20752684
ND;2408405.87305469;2223457.43872262;2216775.62021617;2057552.84269076;1941558.16289284;1966889.64635425;1894957.26148325;1766513.97330426;1686318.7758118;1658000.18202061;1530515.61750571;1559971.1196292;1615119.64221643;1555635.12020581;1676211.56560812;1532108.9584289;1538557.80752165;1875427.1420066;1841864.92691597;1991304.08841568;1507513.86246902;1555044.33094088;1719178.7522364;1528425.2595129;1783219.67359357;1630963.57822758;1525043.0757313;1508068.5349902;1613812.45965975;1549174.71284884;1468484.52748231;1500143.96936906;1373581.5710536;1328403.72520601;1262374.5939902;1235643.62030861;1522274.42266445;1225577.93340789;1188867.23705625;1239440.8000967;1275109.17243468;1044930.12918941;1097772.08719303;1123243.71708569;1226220.8692498
NE;4512411.70569828;4254866.04097772;4145740.71783813;3813822.9032984;3611025.80303462;3567705.92124932;3364541.33764933;3179799.76585526;3056221.16446618;2984432.2105083;2915786.42251818;2968825.64963891;3134627.87300045;3209659.32082286;3623228.98370718;3658751.75124136;3808308.02950562;3316322.99317792;3650489.85601128;3582437.60097349;3786427.43831412;3567477.66301982;3535951.44977468;3136485.62989925;3420252.89706069;3560634.90077687;3187077.58698261;2997759.15997609;2964641.44219263;3003731.26179877;3104987.4947659;2818914.24014209;2427360.9794288;2027114.54362263;2400083.0388895;2397225.69899083;2509744.02552601;2497078.63301913;2493854.26940949;2644063.20123229;2039893.56556866;2137101.57012727;2080745.76734966;1946665.1262297;1943806.05276042
NH;384957.69228544;348637.280755565;322367.363864495;314760.23685265;300565.16886459;309065.112564001;283427.444830394;239137.040226305;235499.821926517;212410.849312497;201359.08720117;165382.418504002;146522.582798545;152229.024394377;142812.231368434;144417.041111315;160979.675511354;167441.98840573;181643.338582351;162044.056095566;182047.982546709;196309.097183827;169247.615494773;129313.193704757;155076.147624891;153734.734158384;145628.539268096;123133.270504879;96217.1792481051;101265.158548024;128448.159225712;99353.1268218649;112722.623281092;85432.4923553721;89862.1666156774;135493.804715722;113523.551156758;137000.913358571;145305.977468335;136554.384603209;125139.312438981;114479.332945368;112213.712714162;103987.013300972;95912.6914126643
NJ;1011454.81248721;950933.364035044;941548.173701444;898283.198392306;877302.007585261;860281.088452152;679603.549079591;596575.068446662;557748.825185482;529185.482861301;508176.653846848;498813.019684242;498674.648856253;487566.725023395;497860.469932721;508718.406891887;575246.615376816;566624.795241496;567570.801562384;579719.920225307;602053.016193521;604604.743736962;539433.046408376;509589.163387228;493888.489266898;552434.336586119;561836.460361866;523306.22542551;548968.520291849;442326.212702652;407567.542520783;346456.691582142;422682.583083777;383312.563984198;462337.162071205;451756.473417124;366916.128868276;451615.539914738;358057.031956067;392035.454735819;407728.9195514;443233.214033537;441242.964241267;380644.68920266;364120.710804371
