Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
ID;806644.043292115;886042.808964247;956946.432598813;1000519.72805604;1020312.47208222;1007112.11265032;993982.261947068;1164446.90806896;1149363.76181816;1194596.99099176;1207487.04706124;1277722.9689403;1263297.28729047;1347227.14700306;1342951.53652102;1286882.42817417;1429880.63564006;1347605.19456166;1602458.1885836;1584349.72470745;1685198.66292871;1714637.02507507;1808390.12848783;1762150.10576284;1782850.71066311;1614473.39737734;1715579.33130275;1794290.35033148;1660942.54967033;1793825.37235122;1903883.97004779;1987217.12574177;1964605.47898298;2113760.71796582;2120023.76018896;2167236.60858787;2188803.5903057;2252169.48427355;2319568.60115823;2237096.01202592;2294889.79943029;2103075.85537292;2093203.27400757;2126259.90420624;2277105.08473685
IL;3628053.87351756;3684602.61301788;3830649.36097867;4127656.93752895;3841191.90051253;4611551.75016344;4216105.17364155;5165596.97997052;4687644.62474826;4900968.68209131;4115395.99711082;5323327.54751832;5345177.23515085;5330292.23373199;4375161.27485942;6393528.22488309;6044953.93107551;6449595.60627672;6328801.28258568;7400441.31901087;5993114.01662229;7444220.42231989;7527883.98746669;4306955.60876403;6402574.19341101;7808179.58574693;7222451.58954606;6504686.43426353;4411874.572026;7164760.37060808;7087610.60589408;6435699.28824744;8323243.71992334;7255385.56051499;8724934.13113518;6616138.92554222;7601944.94538065;7772473.51888105;8098362.5491229;7964625.42927989;8512851.9432665;8564771.55537899;7850713.31317398;8398106.88212261;9919285.2210831
IN;1808175.49539396;1744354.46202331;1875287.54507768;2061471.63703157;1787053.80840704;2120210.71126173;1966878.53411655;2103083.07651696;2164069.98549185;2336362.27268183;2038214.40346931;2656844.53187246;2503169.50641646;2695774.2647602;2106111.25267068;2806757.42234082;3121708.18741064;3197159.87569306;3223684.02492361;3407994.81431197;3228662.51557986;3357925.52291016;3847867.7472347;2202635.02813794;3494679.28731547;3839428.27096375;3446556.1548671;3477995.37339478;2339464.99423424;3605342.47134597;3665516.83723102;3029967.40536286;4289107.43494614;4029409.16036576;4399057.0396455;3499987.26397983;3712348.0471269;4034525.94052568;4221046.13100691;4060224.51113955;4484603.884805;4820268.06736853;3862392.90878744;4108738.26078978;5078898.5561785
KS;2454151.17850971;2185628.66047545;1987102.37824914;1849861.17484128;1799549.36622554;2132272.6863867;1927880.41534757;2112927.31056395;2345715.64396677;2630948.37098772;2362699.50161255;2928174.15406822;2956536.8151101;3331505.79307003;2614396.94488987;2822787.28609138;2898243.92892875;3264646.04278852;2846185.73574416;3691139.15988494;3047155.64516622;3228046.41768729;3696423.78234368;2998258.9692514;3450302.52434827;3936705.03165694;3679442.1541223;3617794.39874183;3064620.90678843;2687061.372392;3783814.56090175;3309316.09202255;3912864.49832053;3584632.16005578;4266959.23763837;3232370.42488076;4059078.62665451;4967977.38351652;5071298.22183496;4819361.49976492;4056563.5642921;4478007.64369234;3478999.08845302;4211220.17208613;4620421.09074276
KY;1102045.25229774;1227104.06865137;1216756.4044045;1328617.71311953;1455551.57119359;1285407.16028223;1189590.69666003;1557295.8931607;1282203.82744361;1398518.97566949;1281411.72517704;1362008.65223856;1452234.9731545;1385118.20908027;1522587.2683267;1489469.74819618;1763124.76389005;1967953.47912757;1750790.73391792;1850788.1111645;1664670.61096221;2023197.00666953;2180785.48038884;1466206.03873689;1947442.06771398;2197917.85160148;1760922.22876757;1589901.17207927;1429224.82675815;1992974.21264753;1968743.68694604;2003658.29006109;2277554.21092222;2207248.70504696;2164967.20766933;1924612.12828975;2173257.74244167;2027990.90249289;2157988.89621081;1780986.28955004;2032340.68985764;1876462.33533051;1545773.29579695;1814207.73732772;1831791.09945638
LA;492524.566450229;501352.004419464;547314.337511992;631723.403511337;604148.951974753;641038.265487068;667511.128461686;730110.281940071;849173.447292435;737402.858119819;804756.446082976;802912.272721059;831037.064710136;781975.740471827;816310.314674571;910129.604931571;1010015.83909998;958039.336832402;1071216.97271819;1216329.34428938;1000835.99453219;1181670.3517217;1326792.02815092;1066611.44417517;1284837.1251404;1107556.81114975;1036188.17580219;1070666.15474761;1356878.89162151;1099343.69325933;1330742.13222103;1186838.92352875;1441961.86860077;1153338.70227738;1343341.11076147;1209562.04467177;1444588.62653368;1313395.82493293;1054308.56306289;1223597.22616519;997346.528139779;1221008.55389747;1220249.94318953;1354140.06643437;1183173.75593407
MA;230353.534823863;222615.975318456;229460.65675418;225460.28548021;212822.591595589;207971.496466932;212660.369596643;193802.610399268;187667.809372692;189153.616282828;202754.582863572;209502.551083656;191776.899045451;202832.503087554;205899.126482679;218926.05843155;217845.220009123;218231.531508289;223201.821697476;195913.358761936;196329.840198369;224944.159000755;214836.999066262;221405.290772191;238183.749234343;246157.648697718;253529.698382067;253415.91682829;262293.863178714;267465.663220491;249065.995049498;293902.025916761;255996.881506923;252206.056086208;260435.451911008;255540.278531064;275321.335717535;299981.024109967;281465.355468648;285613.405218054;303441.801114413;273391.215762423;268747.053827418;263855.11792406;283565.418732186
MD;330768.338089909;326812.884508856;316432.833985235;309250.213233372;325215.924957393;364149.209916053;287148.995069486;395245.991066669;356854.388183331;392499.445137945;386746.610819843;375007.826922871;367612.412251431;404050.427184155;426690.640848018;457501.203980953;454231.466846161;425732.587244126;494500.693802116;500865.794172958;427710.627467689;526123.856267952;534605.376688011;446577.748409259;580915.58722423;588593.123947693;463219.612370968;461952.063582751;446106.806908118;499021.790268579;577996.406339558;536160.480972411;594796.245507051;496724.995588745;589713.644586052;537446.619968739;648503.867661814;549815.629901763;552084.800868039;532537.993502666;655566.61651213;592725.374192697;515528.487105344;602143.182352535;738822.882812633
ME;273749.133135436;306654.370841292;307716.82799523;311837.496049956;297341.879178448;277754.35510908;278380.86225647;286007.46418535;292898.698213564;281685.693634661;260353.78493569;268128.054795758;274581.148477723;250444.554322894;210394.605377437;245765.203743379;235981.967936334;222099.138597742;234083.121805006;235471.417193607;220238.531798081;209125.075209206;235387.090094919;235543.753241217;203554.78732173;223631.949029406;253616.793430828;224289.140059531;239938.891308897;219186.99229033;230138.756819366;213065.976061881;233145.926752966;210587.50862713;194220.703711725;220359.922625343;230399.514178047;228621.471867502;215878.301330866;205856.233768274;238262.647216218;202588.822837753;190294.667875495;201292.050334587;201797.107508275
MI;1370175.54397785;1481912.36193387;1452389.67271322;1469204.29992608;1566027.9063781;1413769.38799893;1422326.43610492;1413323.79359501;1486586.24609973;1482812.76599996;1542726.40549287;1506675.9554901;1607238.48510684;1674545.84138933;1560681.70674444;1884378.97445423;1690981.20985416;2010430.51596952;2037046.94960454;2279122.65010519;2343000.06762284;2484537.04969372;2650088.32770326;2234537.14436856;2551225.54386932;2888099.30615586;2590958.79405882;2393690.84606437;2016472.20888632;2550250.17604454;2800271.16755294;2903231.99365831;2882496.49236501;3008175.09420282;3113719.09830615;3174799.5874449;2767879.83854233;3110057.99889739;3002809.28364624;3359720.35949896;3115852.19021669;2814392.02344251;2970214.8027442;2995556.87085115;3259890.26827765
