"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"1" 2 0.526315789473684 2 0.526315789473684 0.851945176809081 0.857517276938332 0.5 0.5 0.95 0.891085244053254 0 0.802800406901812
"2" 2 0.496435456953385 3 0.530349939131554 0.853980649733809 0.857052020676285 0.5 0.666666666666667 0.95 0.899584574837223 0 0.809022350524317
"3" 2 0.524183448620397 2 0.526315789473684 0.86306701259258 0.870053282325021 0.5 0.5 0.95 0.905626366573688 0 0.816181487328295
"4" 2 0.525350101752666 3 0.557263799510943 0.854300071553381 0.85721399425445 0.5 0.666666666666667 0.95 0.897638613017266 0 0.80633228044685
"5" 2 0.526315789473684 3 0.621995668173017 0.872336659155428 0.876482069572488 0.5 0.666666666666667 0.95 0.907379382448823 0 0.825641396201416
"6" 2 0.467767426277687 3 0.58053136933874 0.849885029584964 0.860527774572472 0.5 0.666666666666667 0.95 0.900117536558444 0 0.80573679127229
"7" 2 0.515105232529241 3 0.605440551649251 0.854039913441644 0.861683591568308 0.5 0.666666666666667 0.95 0.895069043176892 0 0.810454540221419
"8" 2 0.526315789473684 3 0.585249031926046 0.851431403075425 0.855652922896652 0.5 0.666666666666667 0.95 0.890790432842484 0 0.806070895938193
"9" 2 0.492657119449358 2 0.526315789473684 0.850142761185295 0.859119208419742 0.5 0.5 0.95 0.893849451927942 0 0.807701222755572
"10" 2 0.526315789473684 3 0.569134702810038 0.856885124407937 0.858647867618003 0.5 0.666666666666667 0.95 0.89585461785632 0 0.809501062624617
"11" 2 0.526315789473684 3 0.58903836669568 0.85164749389184 0.854568121616982 0.5 0.666666666666667 0.95 0.888489268152172 0 0.805948359740725
"12" 2 0.526315789473684 2 0.526315789473684 0.862714562664195 0.875253441091566 0.5 0.5 0.95 0.910410070633516 0 0.803942178938155
"13" 2 0.526315789473684 2 0.526315789473684 0.867972142006507 0.879651345106141 0.5 0.5 0.95 0.905196533543717 0 0.81466241649639
"14" 2 0.522838954256272 2 0.526315789473684 0.86272987418399 0.872176759485969 0.5 0.5 0.95 0.908977669395091 0 0.812054847166348
"15" 2 0.473194664017218 2 0.526315789473684 0.850962233403644 0.861675963339778 0.5 0.5 0.95 0.905476851900143 0 0.801995328891651
