"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"1" 3 0.701754385964912 4 0.737920877542562 0.983503874492245 0.983746769776768 0.666666666666667 0.75 0.95 1 0 0.93798349875858
"2" 3 0.700268028119207 3 0.701754385964912 0.977767589744233 0.983198884603936 0.666666666666667 0.666666666666667 0.95 0.999269153773488 0 0.927533182818057
"3" 3 0.701754385964912 5 0.814017073414251 0.990346795945735 0.990757618210806 0.666666666666667 0.8 0.95 1 0 0.950305213715775
"4" 3 0.701754385964912 4 0.789473684210526 0.989936330559691 0.99146365966685 0.666666666666667 0.75 0.95 1 0 0.949462017633201
"5" 4 0.721055332598253 5 0.841624936263917 0.985750190760236 0.991909454776117 0.75 0.8 0.95 1 0 0.948915283548901
"6" 3 0.701754385964912 4 0.788660248775781 0.989100431604261 0.987876704715663 0.666666666666667 0.75 0.95 1 0 0.942635991506044
"7" 3 0.701754385964912 4 0.7379539869073 0.981965789072103 0.983284757694134 0.666666666666667 0.75 0.95 1 0 0.936212567752546
"8" 3 0.659655831551245 3 0.701754385964912 0.969885244796736 0.983012184185378 0.666666666666667 0.666666666666667 0.95 0.999596859515898 0 0.912298126428789
"9" 3 0.595473697120475 3 0.701754385964912 0.964427380874638 0.974315663312126 0.666666666666667 0.666666666666667 0.95 0.997577238019161 0 0.915629891434887
"10" 3 0.601794801067269 3 0.701754385964912 0.959494461046361 0.970213639896359 0.666666666666667 0.666666666666667 0.95 0.996250517898605 0 0.903946206074557
"11" 3 0.596556537294541 3 0.701754385964912 0.961185845642926 0.971185549484635 0.666666666666667 0.666666666666667 0.95 0.998742222612106 0 0.905652656313695
"12" 3 0.599604521468654 3 0.689442116010703 0.964084316396612 0.972142795561004 0.666666666666667 0.666666666666667 0.95 1 0 0.91029947756871
"13" 3 0.621927868500913 3 0.701754385964912 0.964944854788658 0.975658166011723 0.666666666666667 0.666666666666667 0.95 0.997384429428455 0 0.91158182210278
"14" 3 0.612023194433531 3 0.701754385964912 0.971463291861212 0.979676598614166 0.666666666666667 0.666666666666667 0.95 1 0 0.926447386211341
"15" 3 0.682299196645517 4 0.725865745769509 0.971580452069916 0.975477645963997 0.666666666666667 0.75 0.95 1 0 0.910546188017114
"16" 3 0.701754385964912 4 0.789473684210526 0.980577801794068 0.989491297383182 0.666666666666667 0.75 0.95 1 0 0.932425728800185
"17" 3 0.659730314110979 4 0.766232699722383 0.974765089395564 0.982663466158222 0.666666666666667 0.75 0.95 1 0 0.92583849913487
"18" 3 0.701754385964912 4 0.737031545196775 0.980834028996911 0.982614760547259 0.666666666666667 0.75 0.95 1 0 0.933888498277293
"19" 3 0.677591617950192 4 0.76058931264018 0.978622414158062 0.984125653036771 0.666666666666667 0.75 0.95 1 0 0.933694075488907
