Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
KS;0.0859;0.094;0.0975;0.1009;0.1046;0.1112;0.1217;0.1343;0.1466;0.1637;0.1762;0.1811;0.1915;0.2078;0.2259;0.2148;0.2275;0.2561;0.3518;0.2699;0.2376;0.2778;0.3701;0.3778;0.3984;0.4038;0.4132;0.4437;0.5489;0.4736;0.4778;0.5947;0.527;0.4844;0.9505;0.7412;0.6703;0.658;0.937;0.734;0.8351;1.0368;1.0596;1.1636;1.5687
KY;0.0588;0.0693;0.0716;0.0829;0.0878;0.0955;0.1229;0.137;0.1556;0.166;0.1986;0.1954;0.1951;0.2172;0.2348;0.2993;0.2356;0.2876;0.239;0.3734;0.3087;0.306;0.4024;0.4034;0.4172;0.4143;0.4091;0.4194;0.4291;0.3838;0.5207;0.6227;0.5914;0.6505;0.784;0.7341;0.8263;0.7664;0.9711;0.765;0.6737;0.9476;1.2952;1.1039;0.9825
LA;0.0486;0.0554;0.0614;0.0688;0.0744;0.0842;0.091;0.1052;0.1201;0.1342;0.1561;0.145;0.1411;0.1645;0.1599;0.1969;0.1804;0.2061;0.2874;0.3493;0.2849;0.26;0.3313;0.3313;0.3857;0.3234;0.4212;0.3972;0.3215;0.4562;0.6927;0.6779;0.5961;0.6409;1.0398;0.5982;0.7072;0.8005;0.8343;0.8284;0.8051;0.9484;0.9406;0.6972;1.2038
MA;0.0947;0.1051;0.1142;0.1236;0.1293;0.1386;0.1476;0.1679;0.1745;0.2174;0.2214;0.2039;0.2401;0.2557;0.3004;0.2698;0.2633;0.2806;0.2645;0.3013;0.2924;0.2973;0.3009;0.3067;0.2949;0.3233;0.3754;0.4544;0.5524;0.7325;0.7532;0.6092;0.5588;0.6161;0.5684;0.7641;0.899;1.1218;1.1983;1.1459;1.2182;1.2102;1.4334;1.3671;1.6205
MD;0.0951;0.0982;0.1015;0.1048;0.1083;0.1137;0.1244;0.1358;0.1469;0.1621;0.173;0.1785;0.1884;0.2038;0.2206;0.2178;0.2426;0.3024;0.2643;0.2606;0.2855;0.2678;0.3302;0.3546;0.352;0.3631;0.3921;0.3675;0.4701;0.6105;0.554;0.6895;0.4965;0.6955;0.7451;0.8352;0.8476;0.6248;0.872;0.7041;1.0563;1.0157;1.1145;1.8528;1.5671
ME;0.097;0.1061;0.1092;0.1122;0.119;0.1254;0.1311;0.1622;0.171;0.177;0.1861;0.1849;0.1966;0.2116;0.2273;0.2338;0.2446;0.2437;0.2473;0.2755;0.2653;0.266;0.2595;0.2663;0.2653;0.2882;0.3352;0.3992;0.5009;0.6588;0.6858;0.5287;0.5011;0.5547;0.4959;0.7065;0.9963;0.7295;0.7737;0.7448;0.7909;0.7888;0.9323;0.8834;1.0393
MI;0.0832;0.0963;0.1055;0.116;0.1271;0.1418;0.1641;0.175;0.2047;0.2591;0.2679;0.2598;0.2713;0.2588;0.2384;0.2424;0.2486;0.2878;0.3194;0.3277;0.2811;0.3594;0.3775;0.3349;0.3518;0.3984;0.471;0.3428;0.4008;0.5532;0.7303;0.5441;0.808;0.9142;0.795;0.5652;1.3788;0.9784;0.9652;0.8656;0.9284;1.0869;1.3035;0.8877;0.8607
MN;0.0762;0.0792;0.0818;0.0851;0.0878;0.0933;0.1012;0.1107;0.1202;0.1334;0.1432;0.1476;0.1562;0.1704;0.1846;0.228;0.261;0.2881;0.2836;0.3177;0.3255;0.3699;0.4004;0.4047;0.3762;0.3933;0.4156;0.4397;0.5132;0.7328;0.8907;0.7679;0.7671;0.9019;0.84;0.7925;0.9425;1.08;1.4434;0.9915;1.2727;1.4029;1.6682;1.1953;1.618
MO;0.0845;0.0946;0.101;0.1099;0.1166;0.1244;0.1227;0.1213;0.1373;0.1545;0.1603;0.1569;0.164;0.1808;0.2172;0.2122;0.2071;0.2433;0.3154;0.3349;0.3295;0.3172;0.3163;0.3245;0.4702;0.3052;0.3716;0.3067;0.3553;0.4498;0.5744;0.5065;0.5747;0.8765;0.662;0.4922;0.5331;0.7021;1.3334;1.293;0.9334;1.1285;1.1726;1.1023;0.9033
MS;0.0488;0.0547;0.0642;0.0684;0.0789;0.0873;0.0906;0.1335;0.1713;0.1878;0.1807;0.1747;0.1737;0.2019;0.2092;0.2948;0.2183;0.2455;0.2441;0.2948;0.2092;0.2006;0.318;0.3222;0.3186;0.3004;0.3222;0.2932;0.3569;0.419;0.5334;0.4592;0.4911;0.6949;0.6497;0.4992;0.519;0.5157;0.6164;0.763;0.714;0.9485;0.9734;0.7584;0.9805
MT;0.105;0.1218;0.1283;0.1392;0.145;0.1554;0.1564;0.1657;0.1713;0.1815;0.1952;0.194;0.2236;0.2629;0.2725;0.3054;0.3268;0.351;0.4729;0.3837;0.4281;0.4611;0.477;0.4683;0.4302;0.4448;0.4972;0.4699;0.4898;0.4955;0.5545;0.4517;0.4612;0.5386;0.7221;0.6477;0.7909;0.8913;0.6914;0.9279;0.932;1.0509;1.1639;1.483;0.8954
