Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
KS;0.2282;0.225;0.2604;0.2618;0.2501;0.2492;0.2478;0.2782;0.3367;0.2798;0.2748;0.297;0.3027;0.3375;0.5506;0.6848;0.5213;0.6101;0.5956;0.61;0.6802;0.7257;0.7622;0.7103;0.776;0.7162;0.5959;0.6548;0.762;0.8704;0.6857;0.8739;0.6376;0.6373;0.727;0.8249;0.7952;0.789;0.6871;0.5709;0.627;0.6684;0.6175;0.4881;0.6019
KY;0.1948;0.2046;0.2215;0.2164;0.2169;0.2137;0.2121;0.2364;0.3015;0.2908;0.291;0.316;0.3207;0.3611;0.4881;0.553;0.5232;0.5728;0.5752;0.6093;0.6622;0.7464;0.8518;0.8325;0.8947;0.8312;0.7177;0.7236;0.8514;0.929;0.9111;0.9777;0.9475;0.9306;1.0024;0.9673;1.0192;0.9593;0.8384;0.7989;0.7122;0.8556;0.7689;0.6334;0.7041
LA;0.29;0.2983;0.3182;0.3092;0.301;0.3231;0.3327;0.3588;0.449;0.4022;0.3876;0.4048;0.4176;0.4442;0.6267;0.795;0.5905;0.6969;0.7184;0.7304;0.7748;0.8686;0.9172;0.8782;0.8727;0.8608;0.7458;0.7847;0.8947;0.9438;0.9279;0.9302;0.9082;0.9278;0.9769;0.9086;0.9237;0.8909;0.6861;0.7364;0.6888;0.7586;0.8068;0.7175;0.8093
MA;0.1743;0.1776;0.2076;0.2066;0.205;0.2047;0.2061;0.2282;0.3439;0.3322;0.3528;0.3967;0.4185;0.4545;0.3998;0.4561;0.6312;0.595;0.6019;0.6578;0.644;0.7627;0.9625;0.9627;1.0209;0.9726;0.8747;0.8541;1.0069;1.0498;1.1284;1.1869;1.2114;1.1262;1.1967;1.1738;1.2357;1.1218;1.0765;1.4352;1.1835;1.2541;1.1631;1.3115;1.4246
MD;0.2039;0.2148;0.2491;0.2514;0.2499;0.2579;0.2669;0.2921;0.3897;0.3623;0.3633;0.3923;0.4013;0.4468;0.5462;0.6859;0.6571;0.7109;0.7541;0.7798;0.7865;0.8835;0.9812;0.8882;0.9832;0.9246;0.7884;0.8234;1.0052;1.0304;1.0472;1.1092;1.063;1.0225;1.0431;1.0018;1.022;0.9697;0.8517;0.8228;1.0572;1.0653;0.8992;1.0198;1.1146
ME;0.1465;0.1492;0.1769;0.1784;0.1751;0.1767;0.183;0.2443;0.3017;0.2909;0.3036;0.329;0.3438;0.3689;0.2328;0.4133;0.3578;0.5408;0.6272;0.6383;0.6791;0.7006;1.1068;0.9971;1.0428;1.0003;0.8917;0.8271;0.9241;0.9703;1.0352;1.1093;1.0708;1.0526;1.0904;1.1645;1.2001;1.1583;1.0497;0.9783;1.0963;1.2771;1.1807;1.1647;1.1975
MI;0.2029;0.2047;0.268;0.2674;0.2604;0.276;0.279;0.313;0.388;0.3457;0.3548;0.3826;0.3994;0.4207;0.5647;0.6659;0.5646;0.6287;0.6274;0.674;0.6999;0.768;0.8249;0.7722;0.7713;0.6929;0.5969;0.6401;0.7878;0.8301;0.8227;0.9502;0.9043;0.8799;0.9632;0.9146;0.9232;0.9276;0.8087;0.8105;0.7599;0.7619;0.7382;0.6877;0.7529
MN;0.1849;0.187;0.2086;0.2126;0.2104;0.2199;0.2202;0.2474;0.3033;0.2687;0.2722;0.2902;0.3034;0.3377;0.5301;0.6576;0.511;0.5729;0.5791;0.6;0.6506;0.6975;0.7472;0.7054;0.7096;0.6561;0.5565;0.6224;0.7409;0.7987;0.8027;0.879;0.8774;0.9144;0.9874;0.9509;1.0541;0.9293;0.8663;0.8886;0.7825;0.8004;0.7884;0.7363;0.8108
MO;0.2866;0.2963;0.3233;0.3217;0.3189;0.3209;0.3181;0.3364;0.3874;0.3461;0.3474;0.378;0.3828;0.4225;0.6119;0.736;0.589;0.6704;0.6647;0.6902;0.7224;0.8112;0.8381;0.7899;0.8139;0.7764;0.6532;0.679;0.8135;0.8679;0.8352;0.8861;0.8968;0.8879;0.9383;0.9571;0.9828;0.9395;0.8395;0.8172;0.7719;0.8012;0.7545;0.6616;0.7754
MS;0.2716;0.2793;0.257;0.2574;0.2601;0.3155;0.3018;0.276;0.3402;0.3302;0.3218;0.2884;0.3273;0.327;0.5231;0.5839;0.4824;0.5518;0.5884;0.5639;0.6344;0.6961;0.6965;0.6836;0.6746;0.7441;0.7267;0.7531;0.8502;0.8649;0.8765;0.9096;0.9415;0.8881;1.0245;0.9666;0.9222;0.8533;0.9294;0.8239;0.7827;0.8668;0.8928;0.7629;0.9357
