Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
ID;98555.0290697545;101254.432757721;102199.142149643;103017.675869044;104331.503413365;104217.146536334;107555.55423623;110981.542156532;111738.538188531;111287.389612596;111530.567688735;111610.905227794;107587.822237151;109896.385670689;110764.318036213;144268.297775517;171186.597621228;192044.679906396;223441.881955994;208343.829850331;182110.381018295;182406.067355741;169692.572312156;158755.144024534;161528.419230059;147583.056136034;154171.422403045;168152.076664575;169398.819948214;173670.276255784;194012.459369835;196540.934816095;195019.914539096;181503.440783494;215891.062132595;226678.341687987;253753.759782834;210286.975772816;227062.468722736;235227.530112311;238633.5569959;227102.255119659;267469.853975961;227094.779236312;234030.658298037
IL;357383.79335472;350424.109540704;358790.417593882;366037.676350889;380598.217913969;380513.615514358;400314.630919046;400836.122956444;396776.984499198;411176.403559157;385791.326052459;378245.034300313;368619.833841141;384352.133038528;394142.851056028;443423.800122892;492333.169552448;479705.349367382;484619.469211798;457081.337600085;456768.392912321;446954.133498911;428001.479141126;405932.915893691;413159.088150819;361909.955822406;365750.993193931;376269.14063383;368000.215100795;341096.307706011;323076.051942712;324221.319939513;327629.147981692;333330.737716689;329882.370176081;327406.270289623;285178.761314864;301343.467088455;306788.726513525;309040.176705921;297187.812381918;276406.307548274;295166.831968805;289951.487205315;295095.762861427
IN;214501.329724335;214911.150747916;212592.596433683;212765.627267949;214433.807298501;219536.465330684;238450.496116465;237765.255187444;246179.473580209;239854.198590796;231759.371553681;235879.102437215;231234.637384498;235837.634344505;235343.966207464;279553.669524656;318502.721396167;303965.866088077;318455.735352804;304090.071852887;296907.913984035;286330.560541007;273951.413710111;261619.626545961;262793.465043569;231625.158645404;236510.929545324;245923.405187417;240514.170724566;231500.146590844;230658.880908104;227403.110397658;239102.684371513;254418.663158181;239364.405919311;232508.735737398;207497.27385691;214532.984666535;211281.293916633;215114.482184056;201426.922684226;184327.222192855;191254.105613333;172989.172332822;169196.637263564
KS;277911.917780083;276722.876790352;285457.998350704;294429.183479222;302314.817805942;309724.562032916;308596.512194938;309370.255536146;315634.346561447;310778.17904784;302838.043309097;293511.166466885;286803.984703528;276871.499964077;284172.260282276;359635.480646053;397214.159294668;394670.100041025;407007.23036724;377888.752836558;378747.559808645;370517.979218408;345718.886074299;341596.025928556;350619.838261403;321924.288911486;337387.307190097;345403.895284059;339456.795269982;325488.472863249;319117.308595042;323173.244487728;317714.908816518;290764.748319954;312203.724557624;322764.105606702;303645.669252815;323205.534921991;336496.839267966;330014.236381348;377498.095028009;343937.681422992;362774.38610915;329689.951530254;399437.954634348
KY;95259.4859305213;98466.2851321019;99795.171650251;102681.487843842;101875.680427687;107055.818228074;112495.338188655;118686.84448185;120120.308087378;126406.807346617;129773.79787504;124963.40108126;121575.880532308;122655.035876649;134191.920002783;132031.65667849;153669.969057823;157077.887942115;165448.069317253;154508.123248301;150154.070090577;139913.478225313;133624.47367154;130220.330131259;131324.48543252;118742.156559366;123051.232161252;123783.967011909;122519.999567579;115203.800571959;118465.008356503;120701.460867118;122756.382803015;128547.804912233;128254.921718392;137778.349345816;129542.90184427;138879.052666939;148059.027898686;149751.26061087;145272.717967333;137631.898334759;173349.877991503;127866.443558698;144800.384244331
LA;89283.6127643668;90908.8391039566;93061.4001686551;98136.5195534581;102437.204046416;107362.101778874;116867.682948792;120368.90054043;128220.508588711;130922.133662663;132823.019048938;128516.776639914;127130.423717785;126324.574005569;119777.496816907;122207.59757722;134822.337809259;132172.986559779;134618.950276327;120253.046544937;115494.730581055;104984.272919237;102838.246529217;103963.905318361;105222.95411718;91228.2980882008;98832.1550012568;94501.9085604768;94377.721286105;95951.3404960805;94374.3902588768;100794.220337704;96673.2032635855;96557.6236749689;91079.8153839442;105012.505645118;64336.7063948417;94672.7177917539;108453.665664582;114010.078589211;99860.5706849208;97673.7160346832;122858.099184453;92394.1829641651;99694.2684597268
MA;18995.1578668947;18634.5104720578;18931.8600440043;18822.8117737373;18774.9292177157;17985.1494710621;17488.7226073036;16657.9216911108;16342.7351678985;15853.1896608433;15656.7380508154;14918.665921713;14472.0560674026;15210.0417963467;15395.479647717;19888.6176154495;22728.6463506383;23038.2113362706;23067.5771431605;20969.5590825571;19171.9243065373;17396.3941765613;15561.9343293056;15292.3969197247;13898.0500292953;15082.66412107;14946.5406288963;15927.088772827;15675.8287108219;15216.3432554914;14893.004468103;14420.4126339764;14021.8841813136;14954.7653960826;15303.9654091322;17033.1840770924;17281.6399986045;19386.0574852478;18094.7328637408;18062.5564244735;18488.3278067626;15672.7939179769;21030.5421702658;15170.7549795986;16352.0379812489
MD;39197.4049435978;39235.8223509806;40318.4430386687;41216.1167556208;42721.0819020523;42293.017265798;42333.3367134457;41094.0208040412;40353.9556056407;40557.8023691181;41283.3045303287;40434.7984657675;39357.0032070354;39450.0958060344;39719.2156488762;45176.2515073767;52665.6208880208;55550.8223947279;57021.6666536655;55705.873755641;53567.4705463133;51010.6116412712;49362.9833727674;47384.4760448892;46996.6719020939;42901.0711013635;41123.8023897383;44195.256293169;44028.5698622071;43225.2063966496;43645.2163491105;42722.4332941121;42364.0128642565;43241.0579914697;43458.2578312392;45729.3799768153;43659.8243922843;52294.5463252278;47220.5093332435;46457.3051649025;47700.9490204849;48537.7619448118;63579.1582242802;45216.1347758426;50809.0442850004
ME;22420.3442802674;21998.8094081447;21876.1957710156;22643.1946815085;22309.1438633496;21886.6215482868;21105.9458601745;21138.716687414;21127.8864723017;20561.3237783593;19657.1584454715;19756.5610203968;19322.0684114746;20373.6024540475;20783.9994090475;21998.616596984;26841.1014059562;28693.7756092699;31087.7588929273;27723.2403540645;24224.769704592;21891.9985505113;19090.7162300353;18741.7104177045;19332.6019745281;17135.517887244;17010.7579407195;19120.9609112104;18587.2618656377;18244.6951466068;18280.3060383855;17522.5615104643;17113.4000642931;18043.2811890351;18084.4711844023;20274.1854151025;19345.095038792;22462.8556545438;20502.9659840478;21701.4427662036;22670.8753987124;21113.0802062282;29110.9569132778;20819.7029809043;23042.4443288278
MI;153127.22120655;149642.029341797;148518.093430094;149305.734246189;149189.862678355;151848.207289751;154025.790178746;151599.067972627;146508.465162776;146734.366861074;153976.380870667;146100.89545164;146527.933287697;142765.189400156;143599.341156015;167193.456437843;190810.906608339;195340.861493928;203072.46219355;192950.35615356;191772.615591919;189529.091779856;181988.848651804;175323.334539467;177020.605363468;158943.188522932;158696.566118267;160532.659994934;161577.423498026;160192.864511488;165406.113200991;164570.905380385;163657.584541344;169271.793439218;175918.648560326;171618.531669521;166536.186580092;174928.286463494;170296.076806778;166733.404109368;170131.173049552;163427.396000063;182115.07387848;158864.912120222;164634.292063939
