Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
ID;163210.393933495;161995.525696707;160694.570983534;165231.911741816;157797.083382081;161778.498021955;157175.817272254;150570.411693647;142333.368345248;131052.748486949;124509.347886386;125598.041025711;121392.33036984;129266.727910715;122425.12691202;128428.979509775;137631.76276159;131981.299698582;125727.081510735;113475.698228583;95714.2411394029;89323.3075884439;149993.951190675;141183.361836371;143720.121493189;163700.259723944;153874.314420424;151374.464874334;181314.121939745;199900.495057424;195414.280831802;214429.478107025;190459.761562985;194824.671813809;172901.924161128;227394.011331579;195218.523893403;168039.43905372;231027.380929983;221387.787570121;233140.900838665;205895.605057124;218685.501481204;222084.36362834;151849.399500758
IL;212289.722796986;205923.232792887;207264.791181073;213340.724051314;191753.428681493;195590.381574763;190749.175188672;200166.62607969;197563.062322537;191437.362095698;158404.48323187;169273.524663587;164488.855156007;184657.28688542;173739.786417503;185225.890513513;182929.334393879;178881.890491874;175517.552567142;158572.085728934;119158.548917613;111781.962321367;218012.229591354;212325.18565878;191135.677970341;234485.378063183;249190.45527734;194486.841969542;231503.772951028;237668.626686351;223422.886332032;236912.877568366;205950.174840567;196814.644443307;222897.153081603;242712.028925531;250193.874293584;256407.088534715;273864.698279439;290401.59990495;295468.24434853;330852.724145798;360054.685719914;388662.420713582;377844.448822723
IN;185435.065404018;182985.464541837;179655.447433049;184889.770577554;156164.944282042;153328.959852707;149482.077372726;149389.938608571;145376.274881757;136120.763464193;112587.73120447;115760.443771001;112616.183633262;122557.290077464;114372.233214026;122501.170987423;120888.907110622;119519.651154825;120461.443386246;107380.525845809;91109.0030247526;81873.182593063;83387.8290307688;88081.0000465934;106870.096525234;110834.920281276;108421.936551985;129680.453233229;148468.56958212;158466.510289093;148375.630920276;151937.898381438;133903.595476611;129481.802625478;147891.658414225;161458.595699318;165231.978549052;175965.274713448;200563.852986828;216375.727388475;202357.696621546;208702.649870475;190127.73848536;192126.565714709;178114.75583547
KS;274479.246802849;266331.813310205;263702.348971264;268590.837819755;248516.509355578;259281.654527611;256463.066093461;265467.306890581;256546.450006338;236273.745393688;220030.356316032;236635.08591905;230860.499784807;259137.775231779;240070.596064393;264689.904569709;258243.489140527;250614.781043572;198590.241195617;184231.540065626;143810.067002294;132240.525005965;446919.76812131;410881.446699523;367050.395879359;520646.962103455;617031.140903958;448465.574957638;532567.88253593;555327.760306502;558392.358860242;590356.781424607;509654.088539187;583896.545579739;540486.967928341;660402.758118561;587041.555839816;677566.145513649;783170.942661103;889665.513469197;821148.869047119;769848.301318874;732461.975817709;694129.111233515;720975.738976065
KY;137107.638723323;132160.468003691;130623.321747989;131606.32004248;114812.563858768;112317.557435616;107773.165684329;109350.175230156;101639.978061583;91794.488494832;74021.44264038;75903.8623647191;73537.3403529001;77025.6151192182;81222.3113604399;83565.0048556419;86825.9683572893;82284.6426534527;92330.566232002;80397.1276135974;72394.2268031518;68545.3962381284;69021.8803653804;70627.071535369;87559.7852843241;91220.276028788;87217.0300069875;83585.3439060583;113387.659716096;127015.711196386;134529.550885709;138302.90543028;205233.512416256;165946.435254886;173936.22091403;173147.780955853;142994.668462336;155192.779657532;169707.388850361;312488.320765636;350847.452083213;285772.001248606;394902.468026312;365295.52699107;414507.809272418
LA;129654.602711267;130837.40805305;129831.039062077;133702.549658554;129561.438319192;132398.218496938;127664.588929067;127614.034420691;120567.716307647;112026.162403689;95069.5393415478;99707.3655938103;99415.9697164359;104314.02667493;109129.262781989;112507.932023656;110856.579368803;104734.321672197;97481.386827051;79588.7154150847;68531.244363641;65231.3692924957;60699.0200991383;65296.3833473618;78427.393303997;83390.1883514366;80124.4446505842;110606.081564395;136377.007216829;139709.46663579;128586.671697923;139715.429465077;116737.818718371;145196.809595295;117179.074056196;130484.164675491;154240.905398044;151877.977779194;166235.159722754;153124.298391717;137918.997913034;150165.527995496;160170.36331341;142832.796304702;136102.133612912
MA;30402.1999509824;28624.504547766;27262.9445926574;26514.1459184484;26420.3650719166;26449.258066925;24740.1820765675;23145.5946653656;21466.4303011998;19738.6293112405;17649.7342428137;17139.4127259304;16102.8272448352;16123.0503165732;17462.4073098396;15753.7696341279;15348.3551896307;15316.7258180402;15971.7459590411;19433.6635905111;19634.8155159344;19371.2525423582;24263.8720959901;25175.6603277578;28508.6873135307;29713.7808658224;25907.3544062797;21219.1957693818;22512.8485511333;20732.240853268;20752.734794932;19678.0796682725;17613.7863013451;17467.0425410199;21810.5058799952;22903.0241126203;18568.8611188136;21393.8173106376;25131.92898527;33213.6200679544;38109.6447644519;30609.2617339399;38810.2483472338;35457.5366375323;38638.3299399358
MD;62663.4561795103;60785.968309784;60098.0019816432;59542.5816312185;55888.3191012305;56387.9302093853;51973.6122150204;49817.9186683588;46281.6780486299;43721.6845769377;41378.0815009168;40146.5433052396;38460.1304947942;40125.1730029825;40332.2689636492;41432.99014363;41113.8208151987;39559.3777991561;39727.4352367481;61370.8042042308;57918.4728737611;57699.9085313649;53196.2640758941;51381.7326415136;54128.3105164098;52551.8172879213;44440.8830826395;99697.4615386499;96734.3874154803;95276.2885065429;85322.4184105359;89498.6890857854;73606.4584117373;76932.6344615157;77542.1110855484;94401.9365128745;71272.3374246099;96225.6011295899;116177.890651224;143035.559896759;122879.996817371;118961.474598418;115497.223264623;95465.2658223488;111521.316087077
ME;46441.7721593929;52325.7970729495;50754.3432077017;49317.6044144258;48690.2480634905;45811.6874472605;38240.8722410386;34009.3075781571;27043.8116267728;20748.0106458517;16997.9749654603;16725.1434642353;16154.4483513382;16274.7912007895;17403.3818499859;20045.7385587059;19172.1017941692;18810.5395613686;15287.3372290576;18487.9100156252;20011.8187159674;19937.5041316494;21856.9287820778;21053.7522447251;24315.798444773;26256.8471432485;24311.0879279476;22520.5573950282;23485.6206942001;21270.7173908125;21676.9182100951;22452.7152929459;24240.3983194933;22144.545119347;23755.2301315242;26537.3100896333;24188.0344639916;27942.22020306;26090.3278406522;33184.939442567;37261.0693129763;28149.5966155477;31039.5470554308;35933.4051768982;29259.7886541166
MI;205912.990018975;200390.27339061;192733.613965665;192406.188726255;174001.753270843;163309.249366362;151291.784167507;144921.223486522;132721.087641717;115006.482976649;104058.117025684;103045.546005205;99807.9220502994;105772.540660171;103719.628152244;105914.75681051;104226.852377391;99864.6634532244;104785.061997279;165173.918412499;160866.581282367;150743.809000896;138994.287786462;137341.770793258;146480.102133472;140542.443661086;119080.806598684;122953.872268945;132704.057380879;144371.89641643;142553.774957455;155518.002272533;101867.338408202;123575.618080092;124924.255391713;142675.522966049;115962.512860608;154503.868296319;171666.541215799;195935.003920676;211396.637890541;289223.133981005;179066.116152875;215063.506117101;225535.089172234
