Year;AL;AR;AZ;CA;CO;CT;DE;FL;GA;IA;ID;IL;IN;KS;KY;LA;MA;MD;ME;MI;MN;MO;MS;MT;NC;ND;NE;NH;NJ;NM;NV;NY;OH;OK;OR;PA;RI;SC;SD;TN;TX;UT;VA;VT;WA;WI;WV;WY
1960;0.47242476244586;0.509594643821534;0.331205527909071;2.08803343949056;0.583603422406797;0.0995945449436164;0.10581106578621;0.498404963344026;0.625638097242288;2.71066436840124;0.373619879986756;1.85549034276232;1.17502082535284;1.10892889703341;0.547830871528081;0.302330290976454;0.111781567776814;0.254197447235386;0.173949174889762;0.817349645523705;1.78129592282462;1.20872575993212;0.52686901955972;0.371041492144047;0.652894321563342;0.634178906813015;1.27389089469098;0.0524174901358036;0.217973754235534;0.187283699548702;0.0439224420451501;0.854828575878353;1.02344413968506;0.552157059184857;0.355884879517036;0.785848680127038;0.0150937494925943;0.250259534062748;0.776647845008661;0.50500450338823;1.71248189604017;0.165927596619064;0.410695341124851;0.131553965033651;0.418626923967894;1.42001955509771;0.127182571384703;0.162846466194763
1961;0.483599532674136;0.5596286886252;0.347072222802636;2.2182852119386;0.619762385049865;0.0964160501159649;0.0967916321364364;0.506163364247372;0.616648051151655;2.78357178796912;0.391037127922046;1.86995852410866;1.15391171326075;1.27798413338212;0.54991281427566;0.311445883455263;0.108241069757475;0.257696148239711;0.176011153140585;0.827117512964202;1.84751687863894;1.23613521842582;0.551432890629231;0.364066685036548;0.674734710101903;0.64320854901844;1.39366551048052;0.051116936161477;0.195081605189891;0.211298568523242;0.0441242893243252;0.851417044689472;1.0681007127383;0.581859377934121;0.374322167852996;0.786893058706341;0.0150316059910601;0.254853571174143;0.82140197231504;0.490925309816433;1.84030509077672;0.167887197228525;0.402928754251457;0.131113783336604;0.431196711834015;1.45510948203521;0.123375933514965;0.1643350190994
1962;0.522299937383465;0.584669771128851;0.410998842000301;2.39688542224379;0.679376490588632;0.0914490695922768;0.0969131186817252;0.523416220559112;0.626978485135507;2.86155370807756;0.401651547158171;1.9192130319616;1.14075289285147;1.2343740557222;0.572655926729512;0.321706129823325;0.103608589800077;0.26075035352491;0.174192525238616;0.802808145064307;1.83690495621572;1.19971515344482;0.583161006901721;0.36266442455357;0.683325925893305;0.689450615095881;1.41866405749919;0.050597699843061;0.198532203611379;0.221130423479036;0.0479128619968994;0.841137603858458;1.03908983859689;0.594391587823303;0.392442083258327;0.748712987453748;0.0138314373936855;0.248753323622767;0.852287187063348;0.503297390909829;1.94390908820846;0.170812440572975;0.414750296905906;0.137618803721833;0.444116657911011;1.44703644402858;0.124297368075114;0.18012618547716
1963;0.53120423144822;0.615765361828623;0.385239547269277;2.32107246621897;0.673752721358863;0.0888964547115618;0.100462551822797;0.533134639395333;0.642646504088331;2.9518909113633;0.425781833236164;1.90082722374812;1.14006115067777;1.33004532690269;0.593277339850313;0.348830191571827;0.0986171043062598;0.250246413336307;0.159542886255109;0.806074092364371;1.83509708381094;1.24051805801043;0.609653632776894;0.427418856784501;0.689230423897427;0.747124952335412;1.5560318346998;0.0458316894975305;0.175745565016227;0.238554552879803;0.0448421188820175;0.785297761012322;1.03122810155782;0.619417058019286;0.403107828382254;0.694365274772171;0.0130450488745815;0.248679934041174;0.950826979442048;0.526756923763948;1.99019607686433;0.180046016298721;0.399501381503499;0.128446756035898;0.461117313689046;1.42984784267875;0.117975460068248;0.195751320068615
1964;0.555103755697013;0.637461162356083;0.372871385420881;2.31303432877565;0.662510127389883;0.0906845980029519;0.109928303329934;0.537618583798255;0.695022362768331;3.03714338126439;0.433436148433697;1.92089025678885;1.15402670986513;1.18786506809927;0.579423780339886;0.345567793025202;0.0939221453215944;0.2578051158074;0.16348522302933;0.824896101246309;1.866759859922;1.28459842218037;0.642874130093794;0.422768623445433;0.698737820038711;0.759432990783909;1.47448847150008;0.0421102027421377;0.172059387980924;0.200873183908571;0.047872243757329;0.841439727764105;1.01759515615007;0.624053709178493;0.389745093581482;0.713201786463287;0.0123774435502753;0.249897885015284;0.921546032073688;0.541662732575983;1.90468355079902;0.173704565679655;0.366965324383247;0.127084575535474;0.460105340543686;1.3858009516194;0.115267044260492;0.194581272445906
1965;0.601085152514684;0.692127584968251;0.395046613451158;2.47560625573084;0.737174072772859;0.0820043561351336;0.112589687938343;0.560788638723261;0.772146709550023;2.93822071778829;0.433646848230247;1.87928922322131;1.09917124842545;1.21150682389159;0.574843100051416;0.359183485860394;0.0851407574184137;0.270312994272538;0.163433190783776;0.776985459200878;1.72548013118825;1.25290228348849;0.633289219789411;0.396625034952035;0.758934861912574;0.73070341605135;1.47705849625374;0.0381263489366108;0.159476453111802;0.239342780031722;0.0584000084270832;0.776321696637124;0.994720338697653;0.671128896476443;0.394053624359834;0.719776994244085;0.0118269186421545;0.251493055463019;0.915640859648239;0.539879062494011;2.06412938823183;0.162842893071265;0.393768071670817;0.119511198240973;0.488598008621611;1.34113014989918;0.109541682858653;0.198480720259882
1966;0.630034531534026;0.728031432521432;0.386761868249809;2.37063473238763;0.772170584961008;0.0839945944469944;0.114768291587563;0.590228954989465;0.77706251037607;3.22744592138981;0.428307098035956;2.03171044657798;1.22092427114932;1.32977002852996;0.621969024153215;0.386002195976585;0.0863982717435934;0.273338134975617;0.165943140624228;0.796604558707062;1.90689673948431;1.42088372746662;0.644980556819286;0.438056759245376;0.753199089731392;0.762481047377668;1.68519573034422;0.0394965554618805;0.147029929435279;0.272842871825598;0.0549566487617816;0.821037250149562;1.03830305698868;0.72334992330886;0.396145157185217;0.696672472902285;0.0114514243295609;0.264852020110357;0.95470457549989;0.576988219729726;2.23844696110854;0.185378014605508;0.417608778020048;0.119316366606322;0.486403668977169;1.44816524824051;0.107701910388002;0.195173311270233
1967;0.675062114767034;0.790532470297204;0.398831483913928;2.41315074978636;0.828425481136154;0.0911861202414277;0.122370314771362;0.645650167802618;0.841794132120224;3.36796099341901;0.441147404103764;2.01784917475263;1.18481471472399;1.34275653667776;0.625478083456272;0.410300842265238;0.0942993261209788;0.282327212388739;0.181193510901039;0.794230365078243;1.93353569366314;1.42673366376044;0.685737979536064;0.453019341492783;0.818689373208386;0.761278293349435;1.6743344531412;0.0453686383562814;0.160372431723055;0.319303664107952;0.062094218709029;0.877586606745098;1.05603725110633;0.705322990517103;0.427043453398324;0.724089785027374;0.0116288092412926;0.276272085476498;1.00304588850047;0.622289389045577;2.26966843654348;0.180277719531068;0.414697929579888;0.136948045524125;0.520724354327216;1.50906588686762;0.10705258153245;0.22736662629028
1968;0.656686356091294;0.784302244305243;0.433291763430276;2.42651834876426;0.792123748138194;0.0868512448131131;0.108261548692171;0.642352062546976;0.842679487781138;3.32519167011835;0.466627227465042;2.09863669767116;1.13525519226463;1.37494169358337;0.632134607667719;0.409704813904259;0.0870143619301922;0.288189670497977;0.171609712976477;0.751988585017999;1.91671373792136;1.41025133135187;0.675028592348063;0.443790218454804;0.838566049244147;0.720328538071744;1.69684038747814;0.0420955026765459;0.150496995361358;0.295172027463188;0.0581631715591047;0.860463977990506;1.00980252395126;0.752295416859394;0.389607627609985;0.75009385239963;0.0105357693484118;0.288598214500927;0.984765526057651;0.576002948150945;2.34214283756431;0.179762210636792;0.428721574535156;0.130343262564405;0.486626297584814;1.50601187934059;0.112469575706314;0.250052076691954
1969;0.64717835546277;0.827035762578388;0.486666696391303;2.40431801387232;0.936732518405127;0.0833986569254925;0.110024735765883;0.67239736247984;0.836167773646619;3.2823789095366;0.461828880267103;1.95745955709579;1.1174667828884;1.51200903695218;0.643949083616833;0.407447648335516;0.0842666458088125;0.27730090944263;0.172902248110062;0.769668568260576;1.87392986922926;1.42460905265072;0.671828249043537;0.464516884016466;0.844497046314528;0.734552160185611;1.74374458760552;0.0404403746091426;0.136949694411285;0.340895323242527;0.0618528429530019;0.844858257673276;1.00894144355353;0.830165637736909;0.395078595105929;0.811161416107731;0.00955588843515637;0.295861925703264;1.01917212905915;0.569253688248595;2.5260916385881;0.183079541699193;0.439671419929352;0.131256440482712;0.488865820575347;1.55471485920735;0.108048922611796;0.234732933757965
