Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
KS;0.3592;0.3642;0.3741;0.3537;0.3211;0.3602;0.4122;0.3976;0.4136;0.4669;0.49;0.5033;0.6008;0.7795;0.63;0.5916;0.6618;0.6632;0.9401;1.2021;1.1225;1.0485;1.0584;1.0359;1.1097;1.0389;1.0195;1.1458;1.2329;1.2731;1.3564;1.3024;1.2838;1.3258;1.2054;1.1312;1.1107;1.1665;1.0824;1.1407;1.2348;1.2774;1.1672;1.3973;1.4631
KY;0.3111;0.3141;0.3176;0.3113;0.2912;0.3245;0.3766;0.3665;0.3723;0.412;0.4305;0.4237;0.4971;0.6655;0.591;0.5941;0.6533;0.6425;0.8308;1.0261;0.9808;0.946;0.9526;0.9076;0.8969;0.8932;0.8986;0.9998;1.0283;1.088;1.1822;1.1382;1.0783;1.1424;1.063;0.9571;0.9576;1.0827;1.0842;1.0655;1.1234;1.1775;1.0088;1.124;1.3673
LA;0.3089;0.3104;0.3243;0.3213;0.2938;0.3036;0.3442;0.339;0.3559;0.3887;0.4095;0.4091;0.4575;0.6205;0.5332;0.4976;0.5592;0.5597;0.7138;0.8822;0.8386;0.8192;0.8045;0.8098;0.8487;0.8034;0.8361;0.8764;0.9361;1.0136;1.0094;0.9633;0.9602;0.9866;0.9797;0.9007;0.9645;1.0003;1.0022;1.0009;0.9854;0.955;0.8853;0.978;1.1148
MA;0.4471;0.4207;0.419;0.4137;0.4067;0.4248;0.4589;0.4367;0.4561;0.4823;0.4932;0.4845;0.5197;0.6827;0.6926;0.716;0.7877;0.7787;0.8636;0.9598;1.0254;1.0084;0.9729;0.9974;1.0044;0.9431;0.9663;0.9212;0.9225;1.0115;1.0264;0.9716;1.0183;0.9829;0.9837;0.8826;0.9948;0.9394;1.0411;1.0215;0.9379;1.0382;0.8842;0.999;1.1533
MD;0.3633;0.3447;0.3554;0.3434;0.3447;0.3605;0.3813;0.3676;0.3882;0.4115;0.4069;0.4027;0.4356;0.5865;0.5767;0.6276;0.6202;0.6216;0.7085;0.7516;0.7901;0.8411;0.8334;0.8301;0.9268;0.8377;0.8884;0.8083;0.892;0.9908;0.9403;0.8683;0.8523;0.8442;0.8592;0.8526;0.9393;0.9394;0.9842;0.924;0.8769;1.0104;0.8335;0.9331;1.139
ME;0.5291;0.4849;0.4914;0.4807;0.4637;0.4819;0.5136;0.471;0.49;0.5406;0.5188;0.4958;0.5135;0.7235;0.7011;0.7566;0.7707;0.7505;0.7983;0.8548;0.9213;0.9291;0.9371;0.936;1.0047;0.8998;0.9053;0.9186;0.9431;1.0813;1.0976;1.0373;1.0209;1.0397;1.0068;0.8433;0.9317;0.8944;0.9154;0.9014;0.8432;0.9117;0.8121;0.9654;1.0595
MI;0.3003;0.3019;0.2951;0.2916;0.2861;0.3015;0.3512;0.3521;0.3673;0.396;0.4087;0.4;0.4419;0.5732;0.5829;0.6074;0.6508;0.6318;0.7305;0.8404;0.8631;0.8875;0.8866;0.8551;0.8643;0.819;0.8167;0.844;0.829;0.9026;0.9704;0.8748;0.8683;0.8924;0.8642;0.8449;0.9629;0.9052;0.8927;0.8698;0.8507;0.9466;0.7869;0.8821;1.0537
MN;0.2887;0.2885;0.2902;0.2748;0.2667;0.2947;0.3436;0.3269;0.3409;0.3749;0.3848;0.3752;0.4286;0.5901;0.556;0.6058;0.6177;0.6138;0.7443;0.8354;0.8265;0.8472;0.8705;0.8243;0.8513;0.825;0.8359;0.8593;0.8556;0.9121;0.9834;0.9147;0.8847;0.9122;0.8609;0.8505;1.001;0.9594;0.8775;0.8132;0.865;0.9476;0.8024;0.9121;1.0887
MO;0.3178;0.3213;0.3262;0.3077;0.2957;0.3379;0.3816;0.3522;0.3621;0.4148;0.4298;0.3991;0.4781;0.6619;0.5854;0.6354;0.6586;0.6406;0.8251;0.9592;0.9102;0.9124;0.9463;0.9038;0.9098;0.8697;0.8943;0.9529;0.9714;1.0235;1.1102;1.0461;0.988;1.0372;0.973;0.9063;0.9655;1.0433;0.9521;0.9611;1.0354;1.0391;0.9016;0.9955;1.2489
MS;0.3021;0.2931;0.3049;0.2986;0.2805;0.2951;0.3328;0.3079;0.3274;0.3575;0.3583;0.361;0.4074;0.5861;0.503;0.5157;0.5369;0.5646;0.7039;0.8194;0.7971;0.7914;0.7603;0.7771;0.8473;0.7793;0.8363;0.8003;0.8812;0.9466;0.8955;0.8543;0.8619;0.9168;0.9146;0.8778;0.9837;0.976;1.0192;0.9595;0.9186;1.0398;0.8464;0.9429;1.1804
MT;0.3562;0.3601;0.4009;0.3726;0.3365;0.3756;0.421;0.416;0.4303;0.4829;0.5079;0.5342;0.642;0.8303;0.5597;0.56;0.601;0.6495;0.9673;1.223;1.0726;0.9636;0.9157;0.9196;0.912;0.9156;0.9407;1.1381;1.199;1.2434;1.296;1.2667;1.2183;1.3724;1.2888;1.1162;1.0449;1.2207;1.1584;1.2451;1.4209;1.4132;1.2876;1.4989;1.6777
NC;0.3881;0.3678;0.3725;0.3671;0.3592;0.381;0.426;0.3764;0.3913;0.4342;0.4206;0.3945;0.429;0.6734;0.6201;0.706;0.6906;0.6769;0.7616;0.7781;0.7589;0.7916;0.8;0.7945;0.9053;0.8428;0.8867;0.803;0.8189;0.8929;0.9026;0.8441;0.8122;0.8588;0.8293;0.8522;0.9744;0.9902;0.8642;0.8302;0.9201;0.9823;0.7947;0.8766;1.1052
