Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
KS;0.0274;0.0201;0.0246;0.0247;0.034;0.036;0.047;0.0521;0.0706;0.0852;0.1159;0.1255;0.1387;0.18;0.2105;0.136;0.0937;0.2535;0.2933;0.3411;0.4657;0.691;0.756;0.8349;0.8892;0.7499;0.5452;0.4882;0.473;0.4561;0.4703;0.4631;0.4575;0.4718;0.4945;0.5281;0.5527;0.5837;0.5696;0.6444;0.704;0.6667;0.6085;0.601;0.5238
KY;0.0284;0.0212;0.0264;0.0273;0.0391;0.044;0.0584;0.0629;0.0839;0.0963;0.1226;0.1243;0.1333;0.1732;0.2103;0.1453;0.1067;0.3024;0.3613;0.4239;0.5798;0.8607;0.9502;1.0674;1.1649;1.001;0.7443;0.6885;0.6846;0.6764;0.7177;0.7169;0.7086;0.7393;0.7968;0.8735;0.93;0.9992;0.9964;1.1506;1.2815;1.2356;1.147;1.1509;1.018
LA;0.0471;0.0349;0.0432;0.0427;0.0613;0.0665;0.0897;0.1013;0.1379;0.1632;0.2119;0.2186;0.2312;0.2935;0.3443;0.2274;0.1623;0.457;0.5532;0.6701;0.9505;1.4502;1.6213;1.814;1.9474;1.6349;1.1773;1.0346;0.9831;0.9288;0.9426;0.9181;0.8974;0.9176;0.9567;1.0192;1.0745;1.1471;1.134;1.3035;1.4484;1.3951;1.2941;1.2971;1.1457
MA;0.026;0.0178;0.0224;0.0208;0.0288;0.0307;0.0409;0.0505;0.0785;0.0973;0.1321;0.1608;0.168;0.2072;0.2385;0.1533;0.1018;0.2632;0.2922;0.3507;0.4898;0.7617;0.939;1.2449;1.6437;1.7118;1.5405;1.6837;1.9076;2.0466;2.1398;2.0844;2.0003;1.9681;1.9803;2.0565;2.0854;2.2073;2.2703;2.7749;3.3132;3.4333;3.4109;3.6316;3.3854
MD;0.0308;0.0237;0.0302;0.0308;0.0444;0.048;0.0674;0.0793;0.1112;0.1382;0.1838;0.194;0.2122;0.2664;0.3068;0.1962;0.1347;0.3629;0.4186;0.4912;0.6666;0.9953;1.1147;1.3035;1.5031;1.384;1.1088;1.0958;1.1493;1.1714;1.2448;1.2344;1.1984;1.204;1.2137;1.2522;1.2866;1.3483;1.3179;1.5099;1.6818;1.6287;1.5207;1.5333;1.3619
ME;0.0161;0.0116;0.0139;0.0137;0.0179;0.0181;0.0256;0.0328;0.0481;0.0666;0.0996;0.1167;0.1321;0.1718;0.1996;0.1255;0.0845;0.2236;0.2544;0.2932;0.4022;0.6285;0.7529;0.9536;1.1922;1.1698;0.9948;1.0259;1.1004;1.1276;1.1373;1.0866;1.0389;1.0393;1.0733;1.1458;1.1817;1.2472;1.2496;1.4652;1.6675;1.647;1.5652;1.6035;1.445
MI;0.0263;0.019;0.0228;0.0223;0.0299;0.0306;0.0421;0.0514;0.0721;0.0906;0.1235;0.1334;0.1433;0.1845;0.2195;0.1451;0.1014;0.2772;0.3238;0.3838;0.5334;0.8065;0.9031;1.0164;1.1042;0.9342;0.6844;0.6226;0.6116;0.5994;0.6297;0.6288;0.6261;0.6592;0.7017;0.764;0.8435;0.9445;0.9727;1.1645;1.3448;1.3415;1.2839;1.3222;1.1958
MN;0.0276;0.0194;0.0228;0.0219;0.0291;0.03;0.0407;0.0485;0.0679;0.0842;0.1141;0.1236;0.1372;0.1851;0.2326;0.1632;0.121;0.3469;0.4225;0.5146;0.7238;1.0852;1.1873;1.2856;1.326;1.0617;0.7334;0.6329;0.6126;0.6072;0.6588;0.6782;0.686;0.7145;0.7427;0.7844;0.8251;0.8808;0.8706;1.0037;1.1213;1.0868;1.0144;1.0221;0.907
MO;0.0276;0.0203;0.0251;0.0255;0.0351;0.0376;0.0519;0.0614;0.0856;0.1048;0.1408;0.1503;0.1629;0.212;0.2543;0.1704;0.1211;0.3346;0.3914;0.4563;0.6198;0.9133;0.9975;1.1044;1.1857;1.0027;0.737;0.6707;0.6616;0.649;0.6841;0.6853;0.6809;0.7089;0.7474;0.8028;0.8647;0.9441;0.9498;1.1114;1.2564;1.2296;1.157;1.1741;1.0483
MS;0.0236;0.0175;0.0218;0.0222;0.0313;0.0336;0.0472;0.0566;0.0794;0.0977;0.1304;0.1373;0.1459;0.1851;0.2159;0.1406;0.0984;0.2722;0.3233;0.3862;0.5416;0.8218;0.9195;1.038;1.1331;0.9687;0.7134;0.643;0.6224;0.5975;0.6162;0.609;0.6018;0.628;0.6668;0.7201;0.7777;0.8463;0.8402;0.9646;1.0666;1.0199;0.9384;0.9329;0.8172
