Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
MO;196442;203718;193629;237259;272971;291355;345052;370830;349931;363695;396221;387543;414349;389370;429560;389883;559158;472394;474040;584773;705027;605149;480082;482042;517426;482336;559692;530568;512432;498288;559933;579386;583357;597960;606152;641892;717025;740830;845488;803361;859262;823398;799531;861608;851178
MS;171811;175396;205842;224546;243975;208937;213594;288081;247635;272543;281061;339849;353001;385891;316445;300341;380268;332497;366326;416941;413987;422916;382924;349438;433837;330919;331054;288760;278567;334537;364576;408066;391208;393021;339033;356616;420765;446406;396623;467906;452898;437181;435092;476996;442068
MT;33114;40610;41800;50160;56510;53975;65465;92086;83329;88645;99649;113089;117889;148692;102124;124946;153668;177771;177099;203654;164695;170787;172054;156856;193213;179469;158087;157577;138408;153022;140118;145586;139071;140378;179273;175930;229219;268478;256411;306240;279797;255377;274846;236558;197109
NC;256101;269348;257891;272435;287499;295909;311922;331655;366036;374020;381335;367790;359664;409565;527980;418417;465375;430704;442756;488499;531469;522260;388993;374062;411782;374861;375339;365152;321993;338454;356262;365518;380534;417363;367475;427456;444844;468115;561522;556040;453158;447847;544791;489472;477109
ND;82429;90743;107777;105933;120117;125347;162157;230354;170033;169522;188119;189024;196870;289942;293839;297441;402777;350039;416098;475152;514117;497066;410197;394883;432342;472453;578258;531291;473285;473256;455091;485425;472991;511027;536707;586075;627247;690800;751591;675833;813050;864451;872190;871375;989574
NE;145293;204370;152640;175743;176766;204617;277137;287384;280941;286462;337210;359324;375209;409381;457125;376049;509631;459889;511442;591507;734943;688303;551104;513509;602376;636809;749089;588723;544146;517182;575691;590901;632445;609551;644773;744845;914912;977293;1180789;958664;1021078;1029196;1060091;1105646;1147133
NH;9744;9557;7595;7082;6825;8383;9177;10604;5363;6075;5540;5438;5191;5340;9094;5803;6489;5741;7079;6442;7866;6305;4049;4424;4374;4343;5054;5077;3993;4054;4002;4209;3863;3843;3248;4225;4010;4455;3795;3775;3838;4216;4094;3519;4182
NJ;67511;64362;69232;68326;71248;66483;68442;77521;58615;54189;53878;55888;46665;55610;49395;59552;53652;50743;53472;54340;67975;56235;46091;44467;48126;47939;50954;53402;42563;46455;46997;54891;47678;47757;51649;58056;48863;51974;51016;53766;48002;51358;55507;49253;48397
NM;30715;33169;34904;34553;34784;37242;40437;40620;31620;30031;30912;31469;35942;40382;39864;32991;42808;33062;37604;40220;39008;36472;31413;34282;41341;43955;50369;46278;42034;41763;41789;41564;41443;47052;53856;57696;59447;68737;72219;69800;78798;75857;75445;76340;76273
NV;3640;3893;3586;3442;3235;3941;4813;5819;3957;3973;4338;4491;5659;6577;6733;5749;9082;7403;9362;10474;10923;9887;7558;7788;8820;8618;7856;8397;8100;8436;7984;6706;7336;8404;10523;12167;12603;15743;18858;15701;18345;16916;21799;19011;16939
NY;284552;275363;245964;257639;271760;263378;284791;227092;164847;176933;162799;165417;171439;179374;191166;178498;180870;170765;203502;227443;274782;238529;200728;210004;204370;202727;215045;208629;170364;176024;200689;205547;183337;171018;186043;211543;184672;209834;225922;197313;198561;216170;225988;201465;201776
OH;404603;353183;254689;291578;319867;317030;358611;335814;269044;281772;294625;319930;329395;364692;441067;426304;508341;448781;503913;591234;750378;707883;588519;522042;598065;570407;722433;607542;528590;500157;546346;571805;583559;615410;628789;709989;756996;763187;895341;807922;820429;854689;808035;933965;887459
OK;90288;122816;131470;157955;180517;198064;238566;204937;157603;176818;202215;200871;206231;241484;227712;205057;262364;240281;256127;299501;323657;261902;206535;217693;246441;246735;286156;281127;270784;290202;293241;286655;306936;290745;279233;356632;356738;370124;440141;325365;379246;359696;347673;416324;430256
OR;85575;101628;102910;115788;127283;137603;160144;178342;120914;130948;140071;152283;166473;209683;188436;164503;216171;178997;179039;193623;209996;194373;171962;177608;195065;188212;218474;162509;159471;172353;175501;174435;208404;196515;163052;208606;208968;247836;242119;208921;278092;304787;245127;271042;261140
PA;227553;219080;197030;202708;207860;203642;229223;215984;157290;170759;175443;175467;163261;184479;200173;214725;233946;216082;253476;242035;284644;267691;212795;223119;204267;201818;222528;237901;176525;192886;215562;205658;198142;187968;192635;227556;208281;241536;266033;214947;233316;239259;288002;228826;224940
RI;4810;4681;3688;3918;3951;4149;4167;3560;2175;2570;2321;2097;2003;1954;3068;3625;2120;2719;2543;2603;3757;3066;1883;2457;2115;2175;2622;2551;1920;2014;1896;2083;1842;1837;1709;1950;1725;1942;2275;2250;2356;2471;2632;1951;2009
SC;93748;98978;98349;106222;117562;110970;113779;121544;144367;143492;138228;138884;140040;157743;201180;136963;175765;170018;168069;178928;206593;196918;144753;136910;148498;136088;131277;121330;106630;123437;133064;137445;131935;145588;140684;166705;181161;202964;214951;142477;139504;125740;117166;155092;182554
SD;27252;36454;39075;44033;55969;64765;97103;105813;93507;102370;120173;126555;126902;159528;153434;134007;195115;145642;184307;191686;191447;200189;172270;151074;173510;167319;211114;226051;214106;216947;275368;253970;302073;333317;341285;359915;415737;453027;534888;505306;556912;594762;589100;790743;866766
TN;155315;154034;173397;189006;215785;205004;240511;307125;221117;214480;216363;208578;216919;233510;251740;242195;259127;259356;274432;298204;333021;337396;251104;254297;239387;236013;239125;260419;237710;231471;228713;225433;240407;249668;227128;270797;272742;282250;324388;356838;368816;336293;436577;349501;336239
TX;258919;302364;365394;464073;508504;520849;552036;572230;500744;593771;602585;599571;659055;734494;715489;602920;819351;711312;771778;882654;943387;945513;738861;763961;931673;883193;937125;864312;881184;837016;904600;997788;1010844;1036618;1033382;1243530;1310683;1257614;1415385;1158979;1350497;1281708;1285381;1476229;1263880
UT;17871;18766;14996;13920;14149;17607;21724;33040;17957;17012;17926;18143;21130;23171;20410;17998;30157;20877;24022;21814;20745;21684;15452;18500;20457;22091;26355;24473;24778;24895;22762;21498;22227;23817;27516;28350;25532;28372;33066;28103;32669;30060;38012;30851;27171
VA;144897;147722;153118;158519;157179;161849;171616;192048;170112;179144;180231;178309;180254;201345;275654;267100;219287;219827;226839;242816;270911;258578;202570;186380;194411;180301;187348;201053;166366;170938;175602;174731;177282;180798;163250;181973;189759;190587;224110;242463;198089;187521;232263;191613;196297
VT;35039;37630;48762;49027;48667;70510;64977;41868;17796;19688;21284;20173;18238;18238;24858;20437;20144;22178;20488;21875;32902;24901;13242;14315;14120;14639;15851;17589;13075;14377;16153;17866;17296;15119;15911;16155;14678;17119;20028;19664;16637;16590;18529;15453;16995
WA;138238;137548;157705;184204;200966;221662;221484;245309;209257;232487;216389;221622;229780;269067;305619;259306;326612;262741;338984;402953;443931;444707;365632;377311;403705;366710;418930;361875;386215;366088;359955;358125;415342;373579;423108;460969;417263;550656;493895;421659;443148;457980;483702;405060;406729
WI;151547;164875;135878;141938;166838;183710;201380;217660;186379;196755;203538;212059;227053;250353;292964;260762;324617;313421;362951;372497;490283;504729;423606;392038;424485;450241;494053;491657;404802;416478;449705;450792;455953;457915;485243;488294;491689;565012;616440;532168;658199;668197;589365;610838;620161
WV;37763;38580;33875;35953;38827;40829;39157;39212;26162;25329;24795;21855;23436;20179;23275;22496;24419;29933;30972;27684;27719;26829;21602;21467;20742;22947;22329;24951;20154;20957;21495;19094;19977;20248;17100;17178;17551;18605;21917;23630;17585;17299;24557;18292;18282
WY;15087;14314;13521;16366;17206;19720;24687;28134;22581;26129;27407;28110;31734;37549;30267;31020;30528;29333;34651;31883;28973;34703;27841;33313;29016;32956;40340;35230;35611;31563;32949;33125;31255;32889;36826;37741;38492;41266;46396;45663;39708;44966;47886;44748;42725
